Isolate	2018-18309-15	2018-24282	2018-24987	2018-25852	2018-26524	2018-26525	2019-24805	2019-24807	2019-26065	2019-26858	2019-27953	2019-30277	2019-30569	2019-30874	2019-31032	2020-01187	2020-06517	2020-06616	2020-118493	2020-118716	2020-119465	2020-120111	2020-120112	2020-120720	2020-121270	2021-000840	2021-001471	2021-004308	2021-005173	2021-007827	2021-009129	2021-022098	2021-038478	2021-046451	2021-106098	2021-116651	2021-143292	2021-147152	2021-154227	2021-165928	2021-188317	2021-188318	2021-188319	2022-030364-6	2022-034735	Reference
2021-005173	1516	1822	1847	1841	1292	1878	942	1654	743	1663	947	838	36	2500	30	1664	1683	1675	1291	1291	1138	1754	1761	2173	1281	793	798	787	0	838	1286	1639	1314	1299	1841	873	1290	1274	1279	1294	1606	784	783	445	1758	2361
2021-007827	1264	1526	1543	1412	1006	1433	1049	1465	654	1479	1041	698	852	839	847	1350	1483	1481	1283	1007	659	1042	1045	1105	1002	174	184	670	838	0	1004	1086	1012	1017	1581	98	1010	1001	1290	1009	1344	667	666	435	1046	1851
2021-009129	1278	1131	1152	1781	8	1813	884	1101	1054	1107	884	1126	1299	1139	1271	1010	1121	1121	928	10	812	996	1007	1663	3	965	968	1097	1286	1004	0	994	17	19	1162	973	11	6	927	2	1013	1076	1091	942	1008	1590
2021-022098	1173	1025	1033	1678	1012	1706	1452	1325	1122	1329	1478	1204	1658	2418	1629	977	1352	1350	1564	1000	1298	43	36	1220	1007	1016	1027	1138	1639	1086	994	0	1073	1036	1037	1084	982	985	1601	1006	831	1155	1133	1012	46	1751
2021-038478	1296	1148	1166	1837	23	1870	952	1164	1066	1169	950	1144	1330	1174	1299	1038	1183	1184	951	24	818	1032	1043	1702	18	984	987	1111	1314	1012	17	1073	0	5	1175	981	27	19	957	20	1042	1088	1103	956	1048	1689
2021-046451	1290	1141	1160	1817	24	1850	929	1143	1057	1148	929	1134	1317	1168	1285	1029	1162	1163	935	25	818	1017	1025	1691	21	991	994	1105	1299	1017	19	1036	5	0	1171	986	26	20	942	18	1032	1081	1097	955	1027	1652
2021-106098	1727	8	11	2471	1169	2528	1198	200	1611	209	1206	3043	1861	1529	1804	112	194	175	1233	1164	1669	892	904	2047	1157	1543	1557	2979	1841	1581	1162	1037	1175	1171	0	1605	1146	1149	1230	1168	82	2993	2999	1508	901	2768
2021-116651	1267	1553	1570	1318	974	1339	936	1471	734	1483	944	756	872	846	867	1374	1487	1501	1174	961	736	1067	1054	1100	972	263	273	731	873	98	973	1084	981	986	1605	0	980	973	1179	977	1368	744	728	521	1065	1775
2021-143292	1261	1114	1138	1767	11	1798	869	1089	1052	1096	867	1122	1305	1140	1275	994	1107	1106	907	17	809	990	1001	1662	7	969	970	1096	1290	1010	11	982	27	26	1146	980	0	5	909	10	997	1071	1093	945	1002	1553
2021-147152	1260	1120	1140	1762	10	1795	873	1089	1044	1094	873	1114	1288	1135	1259	997	1108	1105	906	14	811	986	997	1656	6	963	966	1086	1274	1001	6	985	19	20	1149	973	5	0	902	5	998	1066	1080	930	1003	1536
2021-154227	1147	1223	1247	987	947	1012	471	1012	1056	1029	490	1101	1281	2238	1249	1041	1036	1044	22	914	1446	1636	1622	2163	920	1276	1275	1072	1279	1290	927	1601	957	942	1230	1179	909	902	0	938	915	1080	1063	895	1636	1642
2021-165928	1284	1140	1159	1797	9	1831	898	1113	1054	1118	897	1128	1309	1149	1277	1018	1132	1132	939	9	813	1003	1014	1655	2	969	970	1101	1294	1009	2	1006	20	18	1168	977	10	5	938	0	1021	1076	1096	947	1015	1588
2021-188317	1550	70	73	2467	1030	2527	874	28	1448	30	884	2902	1638	1315	1581	23	27	19	933	1016	1599	855	866	1593	1009	1328	1342	2820	1606	1344	1013	831	1042	1032	82	1368	997	998	915	1021	0	2845	2846	1279	862	1938
2021-188318	1393	2891	2946	2903	1077	2965	1351	1545	15	1554	1357	31	797	1122	790	2793	1566	1563	1070	1080	369	1182	1189	1376	1073	680	697	57	784	667	1076	1155	1088	1081	2993	744	1071	1066	1080	1076	2845	0	47	374	1188	3193
2021-188319	1377	2900	2957	2895	1095	2956	1341	1545	42	1554	1360	53	781	1107	774	2795	1567	1578	1057	1083	356	1180	1171	1348	1090	700	717	32	783	666	1091	1133	1103	1097	2999	728	1093	1080	1063	1096	2846	47	0	387	1192	3168
2022-030364-6	1253	1448	1480	1413	945	1441	1196	1393	359	1405	1200	398	460	767	458	1276	1414	1415	888	946	720	1009	1013	1014	936	379	381	394	445	435	942	1012	956	955	1508	521	945	930	895	947	1279	374	387	0	1011	1427
2022-034735	1200	909	911	1248	1026	1275	1025	845	1151	860	1021	1240	1789	2439	1773	903	865	859	1657	1010	1290	31	33	1338	1012	979	983	1188	1758	1046	1008	46	1048	1027	901	1065	1002	1003	1636	1015	862	1188	1192	1011	0	2010
Reference	1952	2693	2811	2970	1619	3110	1236	1495	1654	1486	1281	3296	2392	2961	2279	2573	1524	1518	1561	1597	2248	2007	2009	3255	1579	1828	1854	3162	2361	1851	1590	1751	1689	1652	2768	1775	1553	1536	1642	1588	1938	3193	3168	1427	2010	0
